Index,Organization Id,Name,Website,Country,Description,Founded,Industry,Number of employees
103,650A10df4Eb8A3C,Russo PLC,https://dudley.com/,Jamaica,Multi-channeled dedicated encryption,2002,Paper / Forest Products,9101
104,cdAaC1adDa67fce,Kaiser-Long,http://oneill.net/,Uganda,Exclusive systemic policy,1977,Human Resources / HR,247
105,A8F647a5Bb86598,"Malone, David and Santos",http://www.kirby.com/,Honduras,Extended heuristic implementation,2015,Government Administration,8341
106,4AfB3B5a9CaFEc8,"Henson, Benitez and Fox",http://www.cordova.com/,French Guiana,Cloned mission-critical extranet,1972,Higher Education / Acadamia,6937
107,f2cfa0E918Cdd6a,White-Wong,https://www.gonzalez.biz/,Egypt,Optimized asymmetric algorithm,2003,Maritime,4252
108,bA6e6f0cB65C319,Velez Ltd,https://kelley-hardin.biz/,Antarctica (the territory South of 60 deg S),Reduced demand-driven encoding,1997,Civil Engineering,1772
109,E1c1425B40a52bD,Rivas-Martinez,https://www.gonzales.com/,Tuvalu,Self-enabling even-keeled hub,2008,Music,327
110,E799C0EeDfdBfcb,"Banks, Mclean and Perry",https://kirby.com/,Liechtenstein,Persistent coherent installation,2001,Sporting Goods,3956
111,7AB9Ce58DC01e75,"Harvey, Hayes and Moore",http://williamson-miller.com/,Costa Rica,Reduced discrete product,2005,Photography,7464
112,124EeaBFdE9Fffb,Dougherty-Harmon,https://marshall.net/,Malaysia,Stand-alone bandwidth-monitored utilization,1976,Financial Services,2687
113,65A7d73Df8f104E,Knapp LLC,http://chandler-moses.com/,Serbia,Mandatory dedicated intranet,2018,Defense / Space,1108
114,b5A05c9aadf28e3,Sullivan-Kane,http://www.macdonald-haas.com/,Indonesia,Visionary exuding matrices,1989,Museums / Institutions,7746
115,A8f6F20cD4b711C,Warren-Moyer,http://wolfe.com/,Eritrea,Multi-layered systematic capacity,1976,Packaging / Containers,983
116,A5a144A7C4BFeAE,Bell-Ibarra,https://chandler.biz/,Thailand,Focused national analyzer,1991,Environmental Services,9183
117,7bd368a51Cd69bB,Ramsey Ltd,http://harrison-manning.com/,Northern Mariana Islands,Fully-configurable methodical product,2001,Market Research,7752
118,BffA047Ac720aF8,Walker-Sloan,http://fry-austin.org/,Guadeloupe,Right-sized 24hour interface,1971,Industrial Automation,9895
119,811F32e95eAA01a,Wiggins Inc,https://dougherty.biz/,South Georgia and the South Sandwich Islands,Right-sized explicit utilization,2005,Legislative Office,6703
120,6cb5e0EDee1fc0C,Clark-Maddox,https://www.ball-carr.com/,Argentina,Future-proofed stable product,1990,Fine Art,7781
121,003c7d245f78Fc2,"Rodriguez, Morrow and Salinas",https://johns.com/,Cape Verde,Pre-emptive exuding installation,1987,Electrical / Electronic Manufacturing,1068
122,0103060f81d444D,Patton-Randall,http://macdonald.org/,Bangladesh,Virtual systematic policy,1977,Security / Investigations,2371
123,8568B93d4eCe7b3,Sosa-Burton,http://www.ashley-mckay.com/,Martinique,Polarized bandwidth-monitored open architecture,2012,Nanotechnology,7638
124,DE3abc2759Ff6c8,Ellison PLC,https://www.greer-fitzpatrick.com/,Uzbekistan,Up-sized mobile Graphical User Interface,1977,Utilities,373
125,Fb6CFE03c1AFfD0,Schneider Ltd,https://savage-mann.com/,Kenya,Secured optimizing instruction set,2010,Library,2601
126,dFe6bCAe214A0DD,Aguilar-Sloan,https://bowers.com/,Lithuania,Cross-group heuristic archive,1995,Alternative Dispute Resolution,1554
127,301aE5bffc651bF,Lindsey Group,http://www.hoffman.com/,United States Virgin Islands,Devolved asymmetric process improvement,2014,Medical Equipment,4221
128,F2B09AD72Fc6Fe0,Macias PLC,http://bartlett.com/,Saint Vincent and the Grenadines,Distributed bandwidth-monitored collaboration,2005,Museums / Institutions,629
129,625Cf8d258fFDEc,Tapia-Tyler,http://www.herring.com/,Brunei Darussalam,Realigned interactive hardware,1982,Chemicals,9921
130,ad71a2fCeF22c9B,Burch Ltd,http://www.contreras-riley.com/,Monaco,Up-sized responsive architecture,1988,Food / Beverages,2108
131,9aEeD33350BA0a1,Gillespie-Potts,https://www.franco.com/,Jersey,Object-based attitude-oriented customer loyalty,1975,Insurance,6297
132,2840220621B524b,Shelton LLC,https://www.castaneda-odonnell.org/,Tonga,Switchable analyzing structure,1978,Semiconductors,1544
133,0aD44EFabF3fced,Espinoza Group,https://www.small.com/,Poland,Polarized interactive capability,2018,Hospitality,1984
134,ad7abD76b627EA9,Beasley-Friedman,http://www.mccann-rubio.com/,Lebanon,Multi-tiered demand-driven time-frame,2007,Performing Arts,8691
135,B7A6A95Db9dAD82,"Rojas, Owen and Castaneda",https://melendez.com/,Macedonia,Up-sized next generation toolset,2017,Construction,9575
136,E28CeE0c73B74DB,Bass Inc,http://perry.com/,Indonesia,Focused hybrid throughput,2011,Investment Management / Hedge Fund / Private Equity,8245
137,Fc7BB1c318d0d55,Novak Inc,http://www.preston.biz/,Spain,Phased next generation standardization,1983,Leisure / Travel,2530
138,E1E7c13e9D45F0d,Walter-Chan,https://haley.com/,Ethiopia,Up-sized homogeneous infrastructure,1975,Pharmaceuticals,308
139,edD0DdAD1FeB6Ad,Morales-Schmitt,https://www.kerr-patterson.com/,Benin,Virtual encompassing infrastructure,2014,Professional Training,2919
140,f6D8fDAFFF3d9fC,Harmon-Donovan,http://foley.com/,Costa Rica,Business-focused non-volatile core,1981,Law Practice / Law Firms,9929
141,03e3Fe0C2651B26,Pineda Inc,https://www.garrison.biz/,Congo,Cloned dynamic task-force,1995,Semiconductors,2498
142,7A9436eFF2aFDa3,Ford-Munoz,http://shaffer.biz/,Cocos (Keeling) Islands,Mandatory multimedia knowledgebase,1974,Supermarkets,8518
143,88be54d5A8cD359,Lutz LLC,http://clayton.com/,Hungary,Function-based content-based capability,1989,Computer Games,8956
144,cc6147b2DdC8B5d,"Sims, Valenzuela and Esparza",https://dorsey.com/,Vanuatu,Mandatory multi-tasking monitoring,1983,Mining / Metals,9676
145,91cD7feaED0082C,"Pennington, Meadows and Lowe",https://www.mendez.com/,Saint Lucia,Vision-oriented fault-tolerant collaboration,2003,Religious Institutions,6468
146,efdDfd4C048B4DC,Levy-Olsen,https://www.stuart.com/,Equatorial Guinea,Implemented impactful migration,2004,Music,8074
147,AB6bAaD15793E4C,Joseph LLC,https://www.farrell.com/,Samoa,Cloned systemic access,1994,Government Relations,3958
148,77Ad6aD09988Fff,Crawford-Sims,https://www.blackburn-hale.biz/,Sri Lanka,Front-line actuating system engine,2005,Motion Pictures / Film,8106
149,F3E3d200e50dACb,"Gomez, Moses and Burns",https://www.boone.net/,Bahamas,Cross-platform zero tolerance circuit,1975,Mining / Metals,4329
150,4D196aF8Fca6af1,Riley-Potts,https://www.costa.com/,Japan,Self-enabling tangible emulation,2012,Furniture,4100
151,8ECc90A69B3aa7D,"Hooper, Chaney and Wheeler",http://www.levine.com/,Cook Islands,Up-sized next generation workforce,1971,Hospital / Health Care,7672
152,d2845ccf8c4c3D7,Riley Ltd,http://knight.com/,Gabon,Grass-roots bandwidth-monitored open system,1974,Publishing Industry,920
153,77926A929AaE2eb,"Dillon, Moreno and Mcintosh",https://www.wade-walton.com/,Dominican Republic,Horizontal foreground hardware,1994,Individual / Family Services,866
154,E36dB49134Da97E,Flynn Ltd,http://nelson-mullins.com/,Afghanistan,Advanced neutral matrix,2018,Electrical / Electronic Manufacturing,2424
155,C84aCD2dd5C2638,"Copeland, Williams and Phillips",https://davenport.org/,Kyrgyz Republic,Balanced intermediate matrix,1998,Professional Training,286
156,b50Fb2c61C0D9B4,Tucker and Sons,https://kemp.net/,Jamaica,Realigned scalable utilization,2017,Real Estate / Mortgage,3711
157,D22Ab26a20Fe60d,Nelson-Carney,http://trevino.com/,Cote d'Ivoire,Face-to-face fresh-thinking knowledgebase,1999,Hospitality,3211
158,5e274E3EE74c981,"Pope, Keith and Jacobson",http://www.anderson-kelly.biz/,Seychelles,Reactive next generation database,1976,Textiles,8003
159,4CcB80FbdFf3a87,Schneider-Morton,https://snow.com/,Portugal,Implemented 6thgeneration installation,2016,Staffing / Recruiting,3342
160,18F57aaDEaCdF2B,Small-Smith,https://vang.com/,Lesotho,User-centric user-facing pricing structure,1989,Airlines / Aviation,4893
161,AE0Bf0b605bC524,Carlson-Cameron,https://berg.com/,Bouvet Island (Bouvetoya),Customizable next generation contingency,2021,Utilities,8762
162,1aEE9cEddDDA7fE,"Dorsey, Love and Lewis",http://bauer-estrada.com/,Singapore,Ameliorated analyzing framework,1977,Music,3479
163,c1E60be8Af0cf14,Buckley and Sons,http://www.osborn.com/,Guam,Future-proofed stable groupware,1981,Recreational Facilities / Services,8332
164,4fdeB14c1CFadfF,"Freeman, Andersen and Huerta",http://coleman-edwards.biz/,Saint Lucia,Persistent uniform contingency,1984,Marketing / Advertising / Sales,2681
165,A3c3daB9D974Dc0,Skinner-Randolph,http://www.barajas.com/,Cape Verde,Distributed zero tolerance structure,1973,Business Supplies / Equipment,8602
166,21c49FDd5ccD6A4,Haney Ltd,http://www.flores-estrada.com/,Sao Tome and Principe,Up-sized actuating implementation,1973,Fishery,4964
167,b4fa4Ae45F4AF4c,Perry PLC,https://gentry-cobb.biz/,Kenya,User-centric methodical artificial intelligence,2015,Marketing / Advertising / Sales,6599
168,4165AC8319AAbdC,"Guzman, Foley and Fuller",https://www.moon-mata.com/,Norway,Optimized radical Graphic Interface,1978,Investment Management / Hedge Fund / Private Equity,8781
169,Fa2b47Df8Efac14,Whitney and Sons,http://www.clarke.net/,Gabon,Expanded even-keeled array,1999,Package / Freight Delivery,3246
170,5A735d9831CEe94,Mayo and Sons,http://chen.com/,Mexico,Up-sized holistic neural-net,2014,Aviation / Aerospace,6499
171,AA4E2b54d9Ca6b2,Bernard Group,http://www.dyer.com/,Cook Islands,Persevering interactive workforce,2015,Performing Arts,5709
172,ea40Edf5afdbC27,Arias-Wallace,https://www.briggs.com/,Morocco,Digitized object-oriented throughput,2010,Consumer Goods,1970
173,c3dBece4f4AeB3b,Williamson LLC,https://hall.biz/,Congo,Fully-configurable client-server groupware,2007,Internet,9166
174,035A0aBFe4b43B4,Goodman-Moreno,http://www.lin-conway.com/,Turkey,Down-sized stable methodology,1984,Luxury Goods / Jewelry,5191
175,6f1d2FecF7cb890,"Marsh, Hubbard and Benjamin",https://robinson.info/,Lao People's Democratic Republic,Operative dedicated secured line,2011,Market Research,2859
176,0ECCeA89de4dACe,Garza-Richardson,https://bartlett.com/,Brunei Darussalam,Virtual cohesive secured line,1982,Nanotechnology,6337
177,13A361f9CE867Bd,Hartman LLC,https://martin-zimmerman.com/,Aruba,Organized fault-tolerant policy,1979,Insurance,3697
178,cFE458DAbFcFaE7,Werner-Roach,http://nunez.com/,French Southern Territories,Multi-lateral local hardware,2009,Medical Equipment,5892
179,Eae7FDB16CA0BA3,Swanson-Conrad,https://www.lutz.info/,Mali,Monitored full-range knowledge user,2011,Commercial Real Estate,8418
180,6999Ded52F19Aa1,Herring Ltd,http://www.ashley.biz/,Suriname,Adaptive optimizing structure,1975,Public Relations / PR,1024
181,dFdBBc4ddB4aCEE,Key-Norman,http://bradshaw.com/,Bulgaria,Mandatory 5thgeneration support,1983,Veterinary,5477
182,7D517b5fE83ccB8,Mcmillan-Hodge,http://gibbs.biz/,Jersey,Vision-oriented scalable archive,2014,Logistics / Procurement,758
183,E0a895c59638E8d,"Mooney, Weaver and Deleon",http://singh.com/,Sao Tome and Principe,Multi-channeled mobile time-frame,1990,Library,485
184,9c3411cA7aa2aBC,Bender-Thompson,http://www.benton-larson.net/,Argentina,Devolved contextually-based collaboration,2017,Religious Institutions,2974
185,4d99EF63d9eA80d,Acevedo and Sons,http://www.rice-whitaker.com/,Latvia,Sharable client-driven alliance,2000,Alternative Dispute Resolution,6238
186,64dD5a69f0E27c0,Proctor and Sons,https://martin.com/,Greenland,Exclusive static array,2017,Alternative Medicine,4052
187,dFAffF2d9aadB2f,Berger Inc,http://guerra-kramer.com/,Tunisia,Intuitive national circuit,1997,Real Estate / Mortgage,5247
188,D1e76A75c07f916,"Brock, Fields and Gallagher",https://www.krueger.com/,Bermuda,Re-contextualized intangible contingency,1970,Consumer Goods,9116
189,03AbCC19B9102BE,"Thomas, Delacruz and Horne",https://www.bender.com/,Iraq,Multi-lateral hybrid database,2003,Fine Art,2353
190,bB5F295cB334F95,Whitaker PLC,https://hurst-andersen.com/,French Polynesia,Enterprise-wide local concept,1979,Broadcast Media,7647
191,3480DaD1929B1A2,"Oconnell, Levine and Wiley",http://www.dudley.net/,Andorra,Mandatory demand-driven artificial intelligence,1997,Sports,8505
192,a1E21ec7e9f17AF,Valentine-Finley,https://www.fry.com/,Vietnam,Centralized context-sensitive benchmark,1987,Maritime,5277
193,e6fCdC6a42Af0e5,Rush-Chavez,http://cervantes-chan.com/,Heard Island and McDonald Islands,Open-source 24hour utilization,2020,Fundraising,6839
194,D43f8efc0E256ce,"Joseph, Kelley and Brooks",http://howard.com/,Togo,Right-sized needs-based orchestration,2018,Events Services,4338
195,e15E0b8De9c8592,"Singh, Schneider and Benjamin",https://www.charles.com/,Ethiopia,Future-proofed directional implementation,2016,Writing / Editing,6042
196,DCcECead25601f1,Bolton-Love,http://www.schwartz.com/,Peru,Grass-roots intermediate algorithm,1972,Computer / Network Security,1563
197,Fb2B2f1c8c383Be,Cross-Ortega,http://shaw.com/,Italy,Team-oriented global productivity,1992,Outsourcing / Offshoring,2063
